Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2011-12-21,3.79,11.23,1.95,2.0,3.123,1.5,0.981,3.8,1.98,8.34,8884.25
2011-12-22,3.75,11.34,1.95,1.97,3.089,1.53,0.982,3.8,1.97,8.33,8909.349609
2011-12-28,3.775,11.35,1.96,1.92,3.004,1.6,1.002,3.8,1.93,8.48,8739.730469
2011-12-29,3.705,11.29,1.94,1.9,3.102,1.55,0.998,3.8,1.91,8.54,8781.320313
2011-12-30,3.67,11.12,1.94,1.83,3.153,1.53,0.987,3.8,1.89,8.56,8918.820313
2012-01-04,3.8,11.39,1.99,1.93,3.316,1.57,0.997,3.79,2.0,8.36,8695.990234
2012-01-05,3.79,11.47,1.97,1.89,3.372,1.59,0.993,3.78,2.02,8.33,8600.259766
2012-01-06,3.795,11.57,1.94,1.9,3.356,1.57,0.989,3.78,1.98,8.22,8634.419922
2012-01-10,3.785,11.49,1.98,1.87,3.272,1.61,0.986,3.77,2.0,8.23,9281.25
2012-01-11,3.78,11.54,1.93,1.88,3.174,1.53,0.977,3.75,1.93,8.23,9239.209961
2012-01-12,3.745,11.58,1.98,1.84,3.052,1.54,0.964,3.73,1.94,8.25,9200.929688
2012-01-13,3.84,11.56,1.93,1.81,3.12,1.54,0.955,3.71,1.89,8.19,9030.589844
2012-01-17,3.785,11.54,1.92,1.82,3.088,1.48,0.97,3.71,1.87,8.22,9264.089844
2012-01-18,3.755,11.5,1.96,1.8,3.148,1.41,0.975,3.7,1.92,8.19,9115.269531
2012-01-19,3.74,11.58,2.0,1.8,3.152,1.41,0.976,3.69,2.01,8.17,9300.219727
2012-01-20,3.825,11.54,2.06,1.87,3.114,1.44,0.99,3.69,2.05,8.18,9466.139648
2012-01-30,3.745,11.42,1.94,1.81,3.039,1.33,0.97,3.66,1.87,8.28,9274.849609
2012-01-31,3.715,11.23,1.89,1.83,3.1,1.3,0.974,3.66,1.83,8.27,9303.650391
2012-02-02,3.715,11.19,1.94,1.81,2.928,1.33,0.961,3.65,1.86,8.13,9382.129883
2012-02-03,3.715,11.18,2.01,1.84,2.901,1.29,0.962,3.64,1.97,8.16,9436.990234
2012-02-08,3.98,11.25,2.06,1.98,2.926,1.45,1.001,3.62,2.01,8.23,9557.580078
2012-02-09,4.05,11.2,2.09,1.98,2.901,1.44,1.001,3.57,2.04,8.27,9560.730469
2012-02-10,4.0,11.03,2.05,1.99,2.94,1.43,0.992,3.57,1.96,8.19,9590.950195
2012-02-13,4.025,11.02,2.07,1.96,3.004,1.44,0.993,3.55,1.99,8.21,9585.080078
2012-02-14,3.99,10.92,2.02,1.93,3.054,1.4,0.982,3.54,1.92,8.18,9543.780273
2012-02-15,4.025,10.91,2.01,1.93,3.093,1.39,0.98,3.52,1.93,8.2,9673.44043
2012-02-16,3.925,10.93,2.03,1.83,3.078,1.35,0.96,3.52,1.99,8.2,9622.830078
2012-02-17,4.05,10.89,2.05,1.9,3.106,1.39,0.966,3.52,2.01,8.19,9615.339844
2012-02-22,4.095,11.04,2.05,1.94,3.083,1.44,0.995,3.52,2.01,8.22,9862.540039
2012-02-23,4.04,11.32,2.05,1.9,3.061,1.4,0.997,3.52,1.99,8.2,9918.94043
2012-02-24,4.095,11.15,2.02,1.89,3.066,1.39,0.992,3.53,1.98,8.23,10124.150391
2012-02-27,4.035,11.18,2.0,1.88,3.069,1.37,0.992,3.53,1.92,8.23,10177.330078
2012-02-28,3.975,11.39,1.98,1.83,3.035,1.33,0.983,3.53,1.94,8.21,10161.860352
2012-02-29,3.97,11.39,1.98,1.83,3.011,1.32,0.977,3.54,1.98,8.2,10054.839844
2012-03-01,4.035,11.09,2.0,1.83,2.889,1.34,0.972,3.54,2.03,8.24,10060.959961
2012-03-02,4.115,11.08,1.96,1.84,2.928,1.37,0.986,3.54,1.99,8.22,10299.94043
